orphanet	do
Orphanet:137	DOID:5212
Orphanet:98761	DOID:0050960
Orphanet:397725	DOID:0110740
Orphanet:36426	DOID:0050426
Orphanet:510	DOID:1919
Orphanet:98808	DOID:0090043
Orphanet:363543	DOID:0110286
Orphanet:547	DOID:0060060
Orphanet:1451	DOID:0090029
Orphanet:990	DOID:0060341
Orphanet:64692	DOID:0050398
Orphanet:99886	DOID:0060334
Orphanet:79241	DOID:856
Orphanet:99990	DOID:11254
Orphanet:1902	DOID:10242
Orphanet:95613	DOID:1129
Orphanet:247698	DOID:0050430
Orphanet:141007	DOID:0060382
Orphanet:171876	DOID:0060854
Orphanet:83315	DOID:0050481
Orphanet:575	DOID:0050854
Orphanet:158032	DOID:0050120
Orphanet:91378	DOID:14735
Orphanet:65286	DOID:0060419
Orphanet:282	DOID:9255
Orphanet:405	DOID:0060699
Orphanet:34526	DOID:0060879
Orphanet:99657	DOID:0090038
Orphanet:2745	DOID:0050780
Orphanet:166063	DOID:0060273
Orphanet:1304	DOID:11077
Orphanet:2958	DOID:0060805
Orphanet:101083	DOID:0110151
Orphanet:85448	DOID:0050637
Orphanet:99928	DOID:3596
Orphanet:213504	DOID:3713
Orphanet:309144	DOID:2368
Orphanet:2919	DOID:0060375
Orphanet:217385	DOID:0060432
Orphanet:7	DOID:0060565
Orphanet:248095	DOID:14283
Orphanet:83314	DOID:0050480
Orphanet:777	DOID:0050776
Orphanet:708	DOID:0060673
Orphanet:331235	DOID:0050222
Orphanet:98954	DOID:0060451
Orphanet:83476	DOID:2365
Orphanet:30	DOID:0050833
Orphanet:1764	DOID:11589
Orphanet:178475	DOID:0050353
Orphanet:98805	DOID:0090041
Orphanet:53271	DOID:0060703
Orphanet:585	DOID:0050441
Orphanet:607	DOID:3191
Orphanet:91347	DOID:6275
Orphanet:14	DOID:1386
Orphanet:213716	DOID:5533
Orphanet:180234	DOID:3306
Orphanet:481	DOID:0060161
Orphanet:95429	DOID:4028
Orphanet:2698	DOID:0050658
Orphanet:2131	DOID:0050635
Orphanet:93114	DOID:0110205
Orphanet:3093	DOID:1712
Orphanet:273	DOID:11722
Orphanet:125	DOID:2717
Orphanet:139441	DOID:0060798
Orphanet:140997	DOID:4501
Orphanet:231671	DOID:0060874
Orphanet:518	DOID:8761
Orphanet:549	DOID:10458
Orphanet:3063	DOID:0060802
Orphanet:754	DOID:4674
Orphanet:681	DOID:14452
Orphanet:99748	DOID:0050150
Orphanet:342	DOID:2987
Orphanet:3399	DOID:2994
Orphanet:424073	DOID:5751
Orphanet:85324	DOID:0060813
Orphanet:98967	DOID:0060456
Orphanet:98979	DOID:11554
Orphanet:512	DOID:10581
Orphanet:206966	DOID:699
Orphanet:50839	DOID:11258
Orphanet:99945	DOID:0110174
Orphanet:191	DOID:2962
Orphanet:99015	DOID:0110773
Orphanet:101112	DOID:0050975
Orphanet:99955	DOID:0110191
Orphanet:2965	DOID:5394
Orphanet:220402	DOID:1577
Orphanet:211067	DOID:0050993
Orphanet:1549	DOID:1733
Orphanet:199627	DOID:0060042
Orphanet:97335	DOID:7489
Orphanet:270	DOID:11719
Orphanet:2790	DOID:0080037
Orphanet:572	DOID:5812
Orphanet:1340	DOID:0060233
Orphanet:29207	DOID:6196
Orphanet:100067	DOID:9931
Orphanet:98841	DOID:0050744
Orphanet:251949	DOID:5078
Orphanet:99885	DOID:0060639
Orphanet:2314	DOID:3261
Orphanet:35612	DOID:10629
Orphanet:3343	DOID:9790
Orphanet:221098	DOID:14423
Orphanet:1872	DOID:0050572
Orphanet:424019	DOID:7177
Orphanet:99949	DOID:0110183
Orphanet:217260	DOID:643
Orphanet:100044	DOID:0110197
Orphanet:101084	DOID:0110150
Orphanet:370079	DOID:0060430
Orphanet:1334	DOID:2058
Orphanet:398043	DOID:11615
Orphanet:90354	DOID:14775
Orphanet:412	DOID:3145
Orphanet:1031	DOID:0110066
Orphanet:79211	DOID:13809
Orphanet:85279	DOID:0060809
Orphanet:252164	DOID:3192
Orphanet:397735	DOID:0110173
