disease_keggId	drug_keggId
ds:H01633	dr:D02356
ds:H01633	dr:D08225
ds:H01637	dr:D01366
ds:H00013	dr:D03573
ds:H01614	dr:D01277
ds:H01721	dr:D00287
ds:H00034	dr:D05932
ds:H01701	dr:D04666
ds:H01358	dr:D00184
ds:H01604	dr:D08783
ds:H00022	dr:D00275
ds:H00154	dr:D01366
ds:H00364	dr:D00203
ds:H01607	dr:D00987
ds:H01621	dr:D09572
ds:H00155	dr:D09638
ds:H00080	dr:D00477
ds:H00255	dr:D00066
ds:H00626	dr:D04750
ds:H01673	dr:D00069
ds:H00243	dr:D01203
ds:H01666	dr:D00343
ds:H00363	dr:D00202
ds:H00286	dr:D02598
ds:H00057	dr:D00059
ds:H01730	dr:D00603
ds:H01652	dr:D01357
ds:H01360	dr:D02212
ds:H00083	dr:D00753
ds:H00083	dr:D05092
ds:H00018	dr:D00275
ds:H01528	dr:D02274
ds:H00250	dr:D06482
ds:H01434	dr:D00184
ds:H00964	dr:D08603
ds:H01600	dr:D00987
ds:H00626	dr:D07810
ds:H01699	dr:D01010
ds:H01633	dr:D08443
ds:H01561	dr:D00070
ds:H01809	dr:D00709
ds:H00155	dr:D02258
ds:H01253	dr:D06457
ds:H01473	dr:D00754
ds:H00079	dr:D00683
ds:H00079	dr:D05129
ds:H00211	dr:D01186
ds:H01615	dr:D02016
ds:H01590	dr:D01441
ds:H00398	dr:D00423
ds:H01354	dr:D02331
ds:H00155	dr:D00887
ds:H01600	dr:D03731
ds:H01621	dr:D02008
ds:H00082	dr:D01015
ds:H01602	dr:D00295
ds:H00027	dr:D00125
ds:H00221	dr:D08798
ds:H01905	dr:D01964
ds:H01358	dr:D02815
ds:H01818	dr:D00538
ds:H00413	dr:D10745
ds:H01895	dr:D04999
ds:H01823	dr:D00539
ds:H01643	dr:D01735
ds:H00612	dr:D01691
ds:H00080	dr:D00473
ds:H00083	dr:D00184
ds:H01190	dr:D01027
ds:H00413	dr:D10778
ds:H01045	dr:D02483
ds:H00409	dr:D00216
ds:H01659	dr:D00184
ds:H01249	dr:D00050
ds:H00368	dr:D02267
ds:H01491	dr:D02994
ds:H00100	dr:D03247
ds:H00129	dr:D04499
ds:H01587	dr:D06410
ds:H01398	dr:D02397
ds:H01491	dr:D00979
ds:H00414	dr:D02747
ds:H01635	dr:D01915
ds:H00995	dr:D00148
ds:H01639	dr:D00289
ds:H01381	dr:D03674
ds:H01605	dr:D10630
ds:H01434	dr:D08460
