disease_keggId	gene_keggId
ds:H00802	hsa:7148
ds:H00878	hsa:8635
ds:H00814	hsa:5961
ds:H01611	hsa:125
ds:H00022	hsa:2266
ds:H00019	hsa:3845
ds:H00606	hsa:23229
ds:H00265	hsa:4803
ds:H00627	hsa:2492
ds:H00935	hsa:9244
ds:H00010	hsa:896
ds:H00004	hsa:5925
ds:H00409	hsa:3087
ds:H00264	hsa:4359
ds:H01202	hsa:4047
ds:H00155	hsa:3949
ds:H00094	hsa:3978
ds:H01269	hsa:7253
ds:H01892	hsa:10361
ds:H00897	hsa:79042
ds:H01740	hsa:3690
ds:H00184	hsa:132
ds:H00214	hsa:8074
ds:H00037	hsa:2308
ds:H00181	hsa:64087
ds:H01593	hsa:1277
ds:H00093	hsa:5994
ds:H00271	hsa:25914
ds:H00742	hsa:9076
ds:H00840	hsa:100506658
ds:H00017	hsa:7157
ds:H00074	hsa:443
ds:H00153	hsa:7391
ds:H00018	hsa:7039
ds:H01510	hsa:4149
ds:H00436	hsa:8792
ds:H00079	hsa:3123
ds:H01008	hsa:10225
ds:H00735	hsa:2312
ds:H01889	hsa:81620
ds:H00273	hsa:1513
ds:H00294	hsa:4625
ds:H00773	hsa:84623
ds:H00294	hsa:8557
ds:H00527	hsa:5148
ds:H00891	hsa:11222
ds:H00768	hsa:11253
ds:H00523	hsa:5781
ds:H00408	hsa:23274
ds:H00254	hsa:5626
ds:H00100	hsa:1991
ds:H00811	hsa:63895
ds:H00471	hsa:8626
ds:H00266	hsa:6687
ds:H01279	hsa:27034
ds:H00227	hsa:7066
ds:H00722	hsa:3848
ds:H01174	hsa:2984
ds:H00403	hsa:2073
ds:H00256	hsa:56246
ds:H00030	hsa:2064
ds:H01738	hsa:5781
ds:H00478	hsa:6638
ds:H00499	hsa:2317
ds:H00527	hsa:23418
ds:H00608	hsa:3973
ds:H01428	hsa:7507
ds:H00190	hsa:8659
ds:H00271	hsa:51807
ds:H00228	hsa:3040
ds:H01523	hsa:7456
ds:H00048	hsa:174
ds:H00025	hsa:5743
ds:H00206	hsa:4598
ds:H00217	hsa:6439
ds:H00286	hsa:6584
ds:H00810	hsa:54982
ds:H01351	hsa:92935
ds:H00040	hsa:1029
ds:H00003	hsa:3815
ds:H00507	hsa:7015
ds:H00917	hsa:146059
ds:H00977	hsa:7227
ds:H00606	hsa:57468
ds:H01186	hsa:79048
ds:H00527	hsa:1258
ds:H00410	hsa:4760
ds:H00768	hsa:80153
ds:H00577	hsa:116442
ds:H00523	hsa:4763
ds:H00831	hsa:1293
ds:H00085	hsa:3543
ds:H00831	hsa:7054
ds:H01600	hsa:6622
ds:H00069	hsa:5257
ds:H01556	hsa:4771
ds:H01742	hsa:4314
ds:H00810	hsa:4574
ds:H00254	hsa:2691
ds:H00024	hsa:367
ds:H01431	hsa:9049
ds:H00152	hsa:64241
ds:H00103	hsa:731
ds:H00606	hsa:4191
ds:H00026	hsa:4292
ds:H00238	hsa:2188
ds:H00264	hsa:22880
ds:H01219	hsa:1674
ds:H00267	hsa:2736
ds:H00918	hsa:2657
