drug_keggId	gene_keggId
dr:D09612	hsa:6331
dr:D01278	hsa:2557
dr:D02349	hsa:154
dr:D06272	hsa:5159
dr:D09933	hsa:3360
dr:D04014	hsa:5579
dr:D07776	hsa:7153
dr:D01379	hsa:481
dr:D00464	hsa:2555
dr:D00574	hsa:1588
dr:D03076	hsa:1133
dr:D04793	hsa:283208
dr:D02769	hsa:134
dr:D07993	hsa:6335
dr:D01310	hsa:2557
dr:D00711	hsa:2903
dr:D01278	hsa:2564
dr:D07838	hsa:148
dr:D01704	hsa:5144
dr:D07492	hsa:3269
dr:D00058	hsa:2556
dr:D00680	hsa:150
dr:D00442	hsa:6751
dr:D06304	hsa:7280
dr:D01293	hsa:2567
dr:D02069	hsa:1129
dr:D06309	hsa:10381
dr:D03363	hsa:4306
dr:D08419	hsa:1131
dr:D02617	hsa:2557
dr:D00492	hsa:1145
dr:D02248	hsa:147
dr:D08971	hsa:7852
dr:D10399	hsa:7010
dr:D08358	hsa:152
dr:D09689	hsa:2064
dr:D04026	hsa:146
dr:D06132	hsa:5150
dr:D01163	hsa:3351
dr:D06400	hsa:2492
dr:D10780	hsa:2892
dr:D08575	hsa:6571
dr:D00965	hsa:367
dr:D00283	hsa:150
dr:D01600	hsa:1128
dr:D07070	hsa:1128
dr:D09819	hsa:3356
dr:D00697	hsa:2554
dr:D02829	hsa:285242
dr:D10374	hsa:3683
dr:D01019	hsa:147
dr:D00297	hsa:476
dr:D01562	hsa:775
dr:D00680	hsa:146
dr:D08554	hsa:7421
dr:D06001	hsa:81027
dr:D07879	hsa:5142
dr:D05523	hsa:3358
dr:D08516	hsa:1803
dr:D08181	hsa:6336
dr:D01292	hsa:2560
dr:D00225	hsa:2557
dr:D09321	hsa:931
dr:D08395	hsa:1129
dr:D08283	hsa:55879
dr:D08595	hsa:1133
dr:D04496	hsa:2100
dr:D01196	hsa:766
dr:D05685	hsa:200909
